mtime,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
None,351740,64626,173406,495060,469379,118410,31605,160401,144638,495492,84209,114703,333757,18608,103205,242153,215001,116337,203148,19357,29258,106355,442678
None,351116,86250,303973,254664,241632,158252,439567,484167,491245,410736,295146,234984,370065,319690,39002,104707,367731,398465,265748,302415,231252,40680,282752
None,71034,405171,370821,94120,353946,332097,286401,480337,61703,173254,280090,367314,217900,38717,318226,344447,291056,190392,497944,206055,333587,365678,370764
None,190502,238551,434375,124268,319830,211471,96631,476219,125580,182731,303769,240047,112502,202737,276181,246198,222631,20043,116251,20774,200638,382558,459967
None,24181,22702,95104,390200,4298,437816,107045,185312,461517,389227,319038,50918,446561,332888,238634,264777,85796,251849,151730,230766,372707,51580,109333
None,163187,251587,300986,115992,92121,167497,297019,224979,96052,144148,275091,11341,157907,182382,282195,205843,53927,322509,371185,85384,325831,316586,36932
None,469477,170673,137847,90060,190066,394055,122058,370411,490000,144379,64219,171503,298614,163940,333669,462691,121094,309477,171075,372220,55890,333457,128700
None,435102,247221,185231,488188,46232,171263,413695,230614,413058,64239,468130,432222,263631,209302,350130,223626,280066,495176,65964,248680,179327,498226,223207
None,61762,395736,80626,480259,226923,369513,113207,72958,136612,27556,119351,238361,122820,56290,304560,355379,460518,420234,209159,287387,62551,152581,68839
None,131146,443941,55122,469113,257262,165943,134583,313358,48179,188491,14418,53471,498734,143323,29170,57534,370370,42644,45189,128143,51050,222730,75319
None,266201,60682,363252,117505,473703,183141,274364,132122,117048,224788,242446,333904,108194,71019,330999,225052,85288,431018,402189,362481,11559,179559,183524
None,433259,493842,207056,320591,181926,430978,36213,18980,377015,76328,31400,13305,4387,343135,460879,284615,200983,127153,335130,476909,453218,345704,217819
None,490726,98674,237908,395965,232450,344650,249367,403627,483037,188075,123163,93478,402790,13080,326562,478556,437600,149681,17142,189941,322925,359318,208502
None,222859,237077,219612,281244,325017,369684,355733,5145,339214,486678,118035,132844,250734,402535,52331,265831,152786,266313,141963,489127,222290,372232,57206
None,243287,161021,232912,268,347775,352285,276225,371569,433117,468476,75257,368735,153839,362340,291669,45169,425776,299268,264408,287568,201985,74453,455421
None,20912,132566,387723,270180,254279,455406,110836,238618,29337,269106,220945,114991,262961,30480,431047,391703,304466,460172,456702,248010,64966,15397,406030
None,249289,325700,52449,330538,497545,35804,119294,214749,377304,162879,365133,2146,15534,443914,445200,367976,35628,118379,75096,151916,49133,408467,344798
None,244101,144099,397938,278268,330282,275721,148926,385567,28392,270251,278796,396458,468737,201976,199901,99935,217422,113133,432707,32928,449699,240462,89567
None,45983,346532,199630,60254,254252,61539,308609,430876,486583,87425,70419,65914,253019,401243,454437,368145,88586,366603,449685,131168,265989,379884,40720
None,135840,476625,420113,488606,329522,268595,334629,37035,155837,149199,134345,479461,132479,85275,59972,182887,461032,315139,276900,480537,245343,334611,179083
None,107698,170740,391078,497481,141664,219281,411678,10365,59736,122665,305052,171214,319571,273972,95353,159689,426465,87701,212386,249131,350812,303505,334083
None,334727,110596,364274,148389,221054,447179,385566,447891,490843,183054,441816,450158,457111,60107,244858,261966,389523,497549,429419,330875,396146,349898,368109
None,361088,411236,418079,402687,190544,42489,359628,411615,398144,403935,243198,229349,114205,403221,342835,114163,77827,206754,124197,358415,389149,342450,405457
None,106310,350134,129641,212930,496161,102107,353593,361571,441723,400897,374063,225533,216419,294339,141749,362284,366318,194372,372390,195345,484785,233566,425202
None,400733,262732,34400,41239,281104,357,384218,73943,9969,391180,44581,287047,114249,75136,255203,4614,488248,406264,197976,147979,160886,202720,467505
None,75047,373504,400077,454815,216472,463989,450518,114220,63333,51926,8125,22063,33042,226903,24283,359699,217426,51602,401434,359206,182860,452210,224990
None,343374,49128,421918,59110,416810,190603,256300,66846,474817,490748,122129,365008,347829,163869,161674,141740,454841,368213,323139,426085,271003,140851,71902
None,30312,477223,26518,63765,108295,447672,188190,454516,15227,462201,189130,299048,49820,328589,192482,184816,148244,129487,278977,383586,318500,125903,70803
None,478220,392667,490667,171447,249512,291565,103055,455668,8402,372436,366011,8444,243207,325584,257334,477995,54454,59635,92642,157452,303327,112694,123900
None,92678,45591,311097,379052,485023,322015,322426,251421,19232,467373,495749,205920,415860,224130,407576,154554,302130,377929,89915,370671,3555,18402,50822
None,33799,242320,317924,263425,246441,404819,181818,485362,7529,278481,333535,141966,420193,133450,253625,314669,220568,435887,486695,311956,14892,46901,485268
None,206066,421986,204146,287588,337291,412411,160154,481139,210901,139319,52147,495887,464669,242898,208796,37395,433925,82727,367030,384030,178359,156495,399735
None,254026,149786,228897,365409,331852,120943,403788,311732,17250,195538,148670,227270,312543,153757,26984,417211,109593,149231,115918,495361,341713,256933,236445
None,443014,451424,14386,244930,23356,162340,93293,478928,194206,163318,313593,10384,483746,51292,182027,165016,421937,69831,269047,399952,67220,360110,158325
None,314113,460458,127291,231895,59733,318403,240889,169421,261144,107249,198824,141234,127026,447680,449881,394859,417861,405097,446965,441992,99796,78854,232097
None,397623,91865,399292,16939,276598,158228,479915,184769,88606,381221,388657,316898,354812,203396,345280,392370,268242,162268,393736,439682,433403,188469,307038
None,66017,21500,228959,155525,239655,272913,259169,397967,369952,195944,450002,227884,102007,457962,15242,122636,202552,454064,199810,42608,253728,416133,380970
None,124910,47813,269961,85519,279396,201252,187937,112414,450865,386679,423761,209351,313207,61018,244997,166723,476440,492605,420959,258992,269350,20565,171942
None,409998,429617,131845,370379,165303,249349,62067,294292,202314,133930,309520,477449,120323,279758,283964,369376,319342,28907,107085,296309,492740,463286,398111
None,275253,317048,185640,270355,162549,366580,323808,168366,63689,149532,15109,319654,446146,265685,125496,300252,395629,184395,297769,79067,458455,351311,471542
None,198904,7407,43893,179900,14711,285760,385034,306137,484511,365188,297836,290055,67151,471554,299176,368608,247280,113710,350639,59397,309504,28128,20779
None,357957,498043,28141,364207,8511,117415,384418,456006,288147,217285,168326,349421,480595,387282,102811,198898,377651,327938,327075,481686,197940,327163,322575
None,79170,497671,319793,458015,168688,262963,284497,485818,261334,371395,462104,228341,271624,389107,481819,406586,378759,198128,85488,3473,435687,281344,455449
None,433699,80252,429822,457428,397835,114634,294651,272686,439345,89198,134698,15668,36810,223956,233446,251726,216020,153188,79021,94721,125283,324107,52686
None,450571,419847,335836,374424,486445,418213,326115,382578,128209,491908,263254,131745,457420,249327,244037,56017,212475,435616,126300,136400,344584,65393,67447
None,236533,499650,29119,332627,236514,65300,142220,228287,487264,53260,175507,40304,95570,71590,285903,294148,134576,167078,405929,176124,247460,293081,410989
None,236327,71610,78050,22989,366001,81183,475913,314382,459908,413983,95730,74199,266564,374433,245345,378828,250033,382640,162698,343977,102346,329201,484617
None,455264,236734,109509,146449,382642,400978,466207,69681,283338,120556,140998,84258,117066,296316,178192,77648,53639,175980,483667,29297,383722,44927,224266
None,473669,148782,2601,470687,294605,327468,401751,386990,56934,186757,28327,300479,287432,458759,356301,218469,240546,340534,455095,396105,88386,36243,383153
None,424307,258609,153717,219720,147912,235616,276528,248456,439499,297896,26919,3819,214625,149278,492716,234932,423091,132057,160629,254016,333066,423868,287940
None,34406,171691,347149,75014,12730,323800,96263,231573,246797,147805,72754,118414,360465,498831,375512,309403,254715,291142,127173,154759,372260,57276,320109
None,488841,15859,219209,21776,489305,2590,360454,382921,255315,40719,459700,310168,414120,308046,183682,381051,211638,426479,346939,356252,369207,130873,312219
None,132323,215997,420607,148432,109074,8617,425726,495792,417603,385919,156023,125361,448960,286808,140079,442707,435681,302137,475212,469339,162655,279135,157833
None,471118,196298,439803,307080,304075,161555,85679,354676,195012,91901,199356,408394,456909,284940,209664,42314,166599,90892,868,181406,341628,395531,443878
None,424430,312271,185491,490596,1325,334608,453272,232748,300298,143451,205968,366395,317791,219773,259366,419659,168702,69084,119209,451740,352576,117844,53976
None,36304,237090,328157,261393,388390,301788,164364,404887,115581,478062,21475,401458,234736,148639,291718,135791,168431,103797,10592,287791,145234,467760,168085
None,30531,136853,419226,21399,351960,217888,374749,210717,98654,249888,201760,365198,467066,182801,122474,196004,334898,248956,482669,200694,463218,6290,311861
None,86016,454330,189749,418189,376849,380216,392186,327898,171956,96784,20704,355462,494695,273017,218585,148149,388545,34470,130452,381701,180843,268274,324063
None,248330,2300,49603,112538,84816,210645,44112,493668,36535,244000,143601,441478,233703,426813,151591,437278,276336,236754,325119,77060,398198,251414,293614
None,485518,73313,323576,234631,20062,231302,346725,144898,91197,192541,98099,481966,121492,348731,460540,423879,68481,22133,408086,179706,292003,197240,195148
None,95972,312555,321986,207240,292572,377814,32384,211985,475880,110910,135493,158388,459226,130932,403981,58078,322496,279178,371510,492342,77952,278804,59421
None,282887,150574,254970,120175,435457,382221,198674,367526,426077,45460,297959,126366,256594,84023,7406,196322,393448,304098,340821,457389,353113,64466,433699
None,107418,443842,414580,196232,3997,291356,255040,125463,167583,392188,481020,232511,231609,38270,285386,386907,202407,267587,382828,344894,346949,378259,11107
None,442485,6299,51138,257432,139571,315375,54273,20446,487079,127271,311984,250787,3918,236269,154929,249195,417090,137093,66655,369518,404668,465535,361519
None,288174,484106,201175,432443,167507,277692,467639,347804,364980,124842,116367,400760,337230,234782,270957,259584,78566,45469,206878,241399,242244,53807,197276
None,485555,366923,416243,408020,172379,458309,486642,47651,9125,80007,214671,375150,135644,245401,183577,203339,274354,344087,278181,499580,464553,397443,105705
None,220216,23177,131216,110181,489158,293282,78589,343307,1616,39211,391791,436809,149920,157211,368075,224783,33989,423881,351699,164772,311237,214417,477492
None,33871,206879,70370,426046,128019,377017,350353,181024,457850,462690,401506,227115,225261,33435,176086,277720,431817,243918,165796,242629,313051,61617,32932
None,394169,474537,20812,456108,253986,283945,338548,42157,153689,46380,46960,51371,184672,477379,68116,94581,313434,464520,93790,476421,94373,110776,284080
None,107262,253195,192839,342852,425700,448022,348924,377968,410012,30158,248952,263936,281301,175116,244198,11514,119287,242077,413456,22802,303949,497376,116527
None,484967,243680,89491,106173,117829,96393,275294,374641,229406,106137,49103,118200,477174,302486,205804,312896,320186,440107,73580,409420,253575,373083,308979
None,346097,493098,286138,161886,401619,165235,378250,123663,282554,124517,351460,194982,162306,235569,390737,361691,4903,263277,271620,374156,446775,180787,36856
None,215503,459763,170638,300916,87171,288072,461645,499733,409756,60795,260837,394965,467652,353031,429310,411753,96760,311215,148972,36577,121073,151903,464733
None,204603,127326,185921,260571,257901,424602,178642,124559,98318,185953,81709,475719,263054,179594,478315,173683,339931,485869,351851,293993,13722,336260,429372
None,439313,82425,451466,9271,495598,402240,330004,9992,331234,190270,105192,231195,65345,330742,266029,306062,411757,103629,153019,99149,155921,113090,411475
None,238181,388945,498128,82230,54246,240681,287003,167515,471789,453952,199491,292281,249855,472876,59117,153036,399934,228461,334896,175124,459011,198000,483822
None,428624,441597,335185,85098,485659,45900,59358,309873,352654,420267,100059,474783,188615,31781,218500,303296,301913,153634,134004,27292,490667,83466,3971
None,140761,428361,445693,40876,366455,359642,272373,64202,330684,246295,208061,317951,491098,186853,314788,139826,356432,203795,264641,491447,265043,397709,22528
None,181877,480097,198191,378681,40875,460871,55530,254385,486194,457513,105091,110096,246773,386610,176766,272935,410281,496281,415239,89299,126758,147281,495287
None,227605,489415,471785,163362,138910,281442,160795,344149,83898,317037,148774,54041,68427,271797,215018,14737,402578,419064,285972,149286,392346,171964,352750
None,105570,145303,299504,168358,375927,88052,84430,490556,179641,74685,211680,380210,395001,154928,144876,314812,278271,313539,300823,388165,119333,366789,339221
None,276269,308361,190157,124274,365564,87936,47836,489355,232782,140736,351076,453734,335957,302521,6411,269083,49820,233405,53950,261517,47735,21986,206828
None,343235,296401,174016,181951,31676,198070,450452,2972,101680,88731,6637,20570,386848,307330,363796,378315,489899,433024,208917,177989,280095,174647,359157
None,78363,298860,314109,406601,468021,195864,265491,137648,87935,301237,480457,53827,101380,258896,175234,143122,157149,91841,410552,24556,73709,395001,345748
None,486608,310398,408627,415965,196720,393849,353915,428256,307831,380266,321995,179923,435978,211917,74307,306943,136321,262983,480916,102202,65038,363498,252877
None,406469,364670,462515,130205,102227,325543,267106,123355,93091,74174,143455,210046,330088,301757,338362,156046,421597,332811,98197,263211,369261,140948,444096
None,131655,408438,296816,94113,220837,441992,464259,60276,163099,137641,132971,457998,155647,31475,184924,458262,119919,482454,136286,108108,123031,189433,426434
None,472831,27928,258699,385888,354249,163230,38913,93171,276626,292373,20058,127065,312849,28510,105281,277818,55827,111039,187967,165203,204594,261036,210782
None,327962,313141,232448,105392,191548,137927,286891,235746,298122,456066,433313,395860,349321,64117,36187,20714,35627,424783,384799,231640,363641,436062,306011
None,405047,54889,66069,300835,450246,496663,284308,240964,57555,287707,293813,204995,29572,107901,185120,322270,74383,393396,144486,119236,448931,147951,137502
None,211511,379976,446718,41723,54588,149623,53118,351482,372167,228261,9021,46738,449430,63869,495482,277483,384608,286017,342683,302756,265420,172473,77988
None,483907,247563,24959,260686,118475,394133,307737,249261,312905,244966,280417,160384,194185,220108,453402,356947,275950,141532,400944,123630,447035,411201,412914
None,445047,51815,45656,307008,107545,271539,78195,124528,182368,325536,470903,284391,395965,397469,440908,116088,486380,337258,423293,137100,477490,168420,304512
None,408372,171174,410625,223035,135805,330908,402340,215360,220200,243843,352690,414005,171047,200667,249474,216230,476939,427577,105522,86073,107818,103455,281065
None,202906,492404,126600,88390,120777,207661,106715,253794,488199,383319,459080,496144,7639,270443,114349,202649,105814,396847,256463,109339,309413,239489,354069
None,65911,190883,391110,254502,216470,494123,123199,217441,482069,140383,359854,409073,138200,60240,76438,206935,342815,462444,313739,267293,472539,473706,50380
None,26576,253550,170214,225004,411955,301174,372130,166126,25352,18313,228253,88024,185315,247136,471375,109558,243026,101405,303823,396207,246306,329197,435540
None,388564,280660,93941,298989,345589,60024,288345,137277,444006,25545,288271,364072,304252,439637,363044,424710,216300,259010,272904,273435,443480,135211,382551
None,152659,99413,383912,151905,268611,381546,13530,213564,145134,266759,182403,190959,40854,296687,319179,282194,274614,359236,328918,14469,493698,287332,410719
None,233377,3086,162570,139994,64888,184210,472322,305509,288557,178665,405398,472476,169694,364610,452895,154827,119507,81324,422695,296220,144321,44016,409779
None,305757,290887,296355,290973,241771,197768,202255,342092,71565,311715,255549,280473,314361,493965,256105,182594,277835,341631,188072,157667,343978,172175,143522
None,287400,330625,446526,421023,337253,318254,492405,151036,223236,230729,255326,10349,497154,158781,327449,213101,49699,313555,52518,281943,190144,83105,152122
None,124134,49871,260382,481192,479194,5033,187189,110663,225895,384202,7479,46783,351134,446356,78035,347639,412900,459956,399447,201696,485913,230670,142158
None,167023,394251,130921,143087,405360,414399,290381,274597,165553,167102,105375,333589,211675,17046,85946,21188,164820,442619,123857,11123,260890,61592,61483
None,456051,174822,189249,385760,62065,11306,481092,330269,83127,375172,67515,396370,41145,59280,488237,262816,217072,78349,44114,462598,90577,160894,246976
None,63697,417598,334845,21954,313868,127023,477802,184540,468515,155548,314408,171095,342107,483004,145001,59279,177075,309166,383541,473810,8673,213316,202430
None,381512,242237,222764,185935,317700,201841,301048,41910,176303,84304,425495,324923,226469,333272,464352,456852,31472,453351,63194,161333,296919,464462,287929
None,333855,314,426006,1276,205698,57246,300278,72994,302909,217661,231643,420309,297209,185646,231792,172942,69808,86909,495327,36402,410404,155691,211687
None,243651,208158,285227,496899,493967,472285,340703,321906,226612,369039,317138,447857,441754,41980,171873,51317,438746,214663,44081,221582,214050,294023,329789
None,310151,403662,17817,26741,150530,100133,176548,61818,210886,444675,153915,314278,323368,51073,163291,361764,486699,39828,259701,80336,273486,119999,132335
None,254821,464875,152224,221479,437967,16399,335870,85252,498328,499429,334230,189634,410995,478572,304332,423265,129347,337753,97084,36686,275813,631,113996
None,51901,102403,290311,56561,446018,431267,203446,398426,280235,47541,339320,327432,297153,235352,13327,40314,421555,6944,339726,282032,84294,377998,130757
None,247771,238436,19540,362126,475484,178438,34189,121817,257433,68326,229059,389108,358986,109675,228693,412805,291672,215245,354939,432807,439006,102286,310706
None,121945,15929,345521,177406,176127,78518,170245,325471,276573,162038,436178,495853,397786,490631,185664,250518,375595,43821,202295,55497,420112,330092,199994
None,143381,312454,24316,212849,391729,14007,458439,122500,348333,298166,2805,328572,353865,337003,434975,455619,190359,157638,170917,233734,170816,81411,195214
None,47415,81169,278889,480064,446690,184663,427634,146872,18143,227769,123226,15934,153672,308240,328466,259312,27283,305633,93829,18647,475446,376275,420496
None,29375,177980,111325,489049,418204,174103,62885,419967,285612,204411,42959,59408,457884,251123,179279,483943,245876,386179,5622,471023,411671,167219,142050
None,250667,247103,431316,97205,427218,407613,13979,419650,170325,128587,140443,11729,441995,475579,198097,385362,191092,286307,186109,84424,399939,397816,207415
None,323054,489790,302480,352305,495415,372361,317016,172404,425529,476245,440697,299629,387658,420038,76138,39434,359821,335951,411962,23974,430548,471326,124121
None,228358,487680,123608,55546,417439,394787,453157,122229,20586,347602,323758,132356,121786,123144,249728,169633,38358,48556,436119,33143,220197,458526,137865
None,15606,298096,235256,376529,313140,388632,471889,239119,286818,72172,330395,28612,114332,418486,456421,19308,109549,26788,147989,55499,157219,378010,464579
None,231122,368960,231157,26336,493642,40755,182423,80427,226546,128036,319483,110518,449650,189600,106900,213739,444258,125094,95706,278364,231033,418300,80463
None,478586,202454,359341,262019,26704,247646,300752,202561,16692,107152,341429,139210,155150,102836,225067,95307,93048,96761,65096,21007,286297,14357,280296
None,117048,276282,17013,179377,270186,304992,176094,479749,57286,316588,383625,224412,239516,43744,417231,209039,259390,419081,433681,457104,224594,10364,406364
None,348767,339824,154361,118503,93197,196755,228943,334849,304589,394034,153409,342890,478602,182396,449524,443637,230420,446055,231531,239215,298,488442,327270
None,378107,56180,368359,452556,230671,372020,19960,179839,445747,48143,389971,64129,154094,166983,426169,309990,2327,232539,155241,111824,350042,54680,158736
None,195510,263226,469879,244552,486017,349839,138491,437855,207065,205807,389124,253993,304906,363838,322714,130425,438294,227516,162203,344993,406950,398132,353867
None,261991,396100,383113,47848,99742,441236,311161,45624,246837,73947,13994,29072,137906,431665,62507,255721,243710,129101,201930,41380,142260,234394,37644
None,293251,402985,287578,378370,292039,455178,202425,412588,476112,462172,36198,323853,381432,184367,16164,218905,257883,223208,201538,407816,341092,11741,82635
None,364641,364083,33891,158521,109331,400545,355448,84332,317245,386296,42677,371473,499840,450834,434746,61759,172498,9368,483820,241470,234187,384602,97843
None,173416,216309,363636,418353,45148,313697,283585,371329,71907,262321,489013,128024,187718,89054,323442,213063,279188,479219,404139,247207,459176,144722,91328
None,210481,338889,374883,265874,43125,94592,496834,185245,110472,169443,31130,273133,229343,93389,277725,152407,427949,6004,82582,475288,7309,492841,364543
None,489391,203124,328546,191818,296626,470985,228872,1688,326295,395078,116695,109521,485734,476923,224026,211227,288450,113909,158017,383457,108618,56955,156259
None,181608,232770,96428,65414,100345,354862,82270,134110,255409,200743,447098,157905,462561,426866,289330,327760,373903,257108,340524,224742,391421,127581,375517
None,292295,428152,481777,125524,407635,74094,455888,203548,8550,339315,431388,191588,336467,212882,111800,457337,427155,408856,129466,332371,493529,248280,171237
None,70598,419019,51468,129052,66655,456693,93787,49424,174235,417667,143412,295135,382799,291106,102310,13527,60960,111063,475993,407825,163949,293489,336289
None,76421,153624,109291,74349,373827,415246,194767,158523,264786,412071,216726,380298,113226,453980,311304,182064,295146,421660,459672,51240,161506,270783,435630
None,115755,237288,122371,104762,196090,93468,152975,448955,156169,413156,15285,322130,340060,341496,354197,423679,5710,170523,75350,409828,56148,457814,15120
None,48243,231610,486563,299197,421256,284040,210318,429140,372827,356800,444374,14162,12955,327417,69678,384314,26975,132007,3958,419691,118016,11202,319391
None,345856,42761,67707,216506,42571,492760,172292,156388,2402,68017,211548,410302,479255,9932,302426,128148,182270,409208,292292,317495,108696,302145,50378
None,106071,146192,276339,153948,216138,397415,315223,417189,16797,147116,182689,64783,285848,282984,426370,396495,242967,149444,497231,301418,340838,274712,8314
None,409841,86598,281475,460851,287012,2354,151985,88178,138745,391965,1768,247337,47193,317098,494257,478409,418987,253504,496915,91483,303440,179912,286631
None,450872,380239,54143,940,33774,425322,142450,463917,439959,252882,94798,218150,221616,19883,134299,453124,339534,455604,180078,402914,364719,138613,86377
None,26221,329707,446650,486852,307107,163212,440439,103932,325582,31845,258494,157410,118417,318490,425574,445042,341426,105485,323101,59083,436403,71900,220544
None,160663,207412,45515,57875,187731,352211,14235,389587,150007,362683,217368,417947,66000,349172,320841,291723,312458,37878,432535,196557,298002,168901,439229
None,499955,44094,473524,344115,149591,184362,118817,201889,445395,203171,439668,467248,290368,170465,154380,185399,12893,295884,272951,291677,485004,255658,43500
None,408613,254804,361877,299727,358219,354798,495957,44792,236090,161827,60145,481146,15568,169254,427499,71629,222294,121131,286386,122689,473083,157299,122786
None,241087,382954,213528,49298,271140,397251,483414,312414,490346,394882,415068,160851,259007,399773,29297,107577,59010,40574,481607,2875,22986,486337,117539
None,91525,489502,483288,2896,329899,218417,472983,447070,335145,476568,227568,222522,497268,181801,482665,435593,410284,387153,223743,381526,25054,296540,411351
None,168443,374225,148911,292775,10004,268811,147899,164401,178215,302686,22341,53651,255550,380632,339187,70686,495793,78751,413935,45391,410667,173254,252193
None,243606,101437,451813,98238,69143,242697,216479,97270,276255,125376,319814,196040,396938,297262,53613,432778,425327,322807,215694,426526,181892,228738,80989
None,48270,339463,74854,186612,367097,111047,46434,257852,486040,27997,429,388465,354550,496257,368292,346918,113649,284357,123788,499982,185058,147770,336524
None,80906,102972,289035,370016,224945,144490,419325,157400,92771,255114,416881,455410,130191,388416,196311,325528,138211,435326,401335,294329,416828,128389,247082
None,278449,349609,385888,298805,93040,373283,248736,101247,148880,435866,287413,64584,51897,133678,170838,312399,58029,217024,207059,110499,275392,403067,465225
None,359229,357307,246854,380421,47888,401265,388430,282460,388302,236326,333549,98210,12927,26933,236263,303035,230786,31960,138925,28364,11682,361210,114511
None,27357,333224,171145,39771,445851,187642,284347,445924,204340,389015,118999,303430,247195,26664,17816,422002,428548,473453,263933,400658,457391,176384,336508
None,17291,65247,27506,485316,90765,216980,269090,131644,24653,726,107655,268938,419389,71932,137002,218377,18565,66874,54393,103760,57538,284220,463226
None,237482,212596,208457,203795,101793,438294,221408,329470,467521,7021,293214,43096,274288,27513,212342,252091,29129,275209,53709,473525,306305,467450,221681
None,414132,227440,166962,107577,41993,470301,88094,113937,413028,486901,192177,399185,205683,331301,331143,431298,122179,86860,478161,308955,24734,131791,121677
None,253598,115687,223103,7241,95057,66381,468916,322769,400727,208516,31783,49951,189979,327346,97614,117281,183111,181749,406854,300594,112525,274595,343993
None,65846,258345,297984,12547,180201,392248,239558,392059,454892,398316,493583,196927,302196,425042,488104,309714,481163,312398,164499,71291,378079,350646,284944
None,58759,236958,458082,354185,214660,408322,128629,32815,228828,277839,196918,53931,302241,494817,656,496903,191790,228559,64862,289858,242615,310121,499216
None,322177,481248,359034,475708,421975,395444,415810,275636,85904,69875,447182,101420,347745,335971,97383,179863,220429,28798,384760,284124,466496,211660,334776
None,399189,253154,50063,387859,192595,400881,372882,68883,397164,140692,54199,480057,222051,289758,139405,404247,213355,132718,107335,372641,459969,33646,135507
None,205268,136259,457197,138831,444727,498114,381483,204470,52856,227281,445560,199844,254246,298415,174954,220054,436853,145418,81417,205038,371443,199085,381075
None,258358,172123,425670,321697,453359,239339,185893,499677,95630,271698,56210,106338,441366,437168,27989,200247,399906,338760,164113,471180,237805,106633,42749
None,152728,410921,242787,65479,219910,289484,432046,60983,55708,109806,10673,77252,37890,79814,93210,252542,112067,69843,462477,433962,68101,105775,296376
None,411349,464561,451849,23818,313575,64672,44096,432464,174370,421744,26539,226830,17585,159750,116315,429393,421642,57344,480433,459412,46322,17674,160063
None,390857,402624,473563,269795,288875,317995,164114,267343,83225,448002,432466,401475,379976,189249,166203,139543,286319,336839,21960,76673,98887,197496,275481
None,445661,17759,491468,117551,7936,156938,291068,454730,217548,284574,291357,362707,449107,140768,428466,477660,369602,356833,305265,326740,206260,369537,88107
None,433053,71179,413135,356606,385573,63918,438960,293287,435975,480522,158874,479339,437985,85289,440369,458807,463610,135593,469987,364513,309355,124235,278960
None,255113,440077,164400,592,447438,394575,223637,127484,104170,99503,117360,403845,36628,121931,317558,246207,447593,312670,455933,371948,476469,487979,296112
None,278919,173047,228632,365909,190152,414238,486164,274478,348712,67188,229625,231330,22439,346484,27811,21162,192399,206521,325624,340011,206301,455506,3294
None,499069,368881,459874,455240,351203,226894,120755,231373,10011,464611,423323,272796,46177,120994,17967,455357,2305,271481,62750,451678,343844,75989,385886
None,256889,50008,486049,369429,52820,497163,84820,398368,463923,149024,32593,61933,364934,288778,499488,57447,258982,164908,418297,320586,437256,363013,21945
None,293192,85300,445287,410100,100624,183489,161101,72034,80091,479679,180113,62136,499945,312607,161509,269550,27116,176825,39611,352799,411929,463220,374605
None,494148,261006,224864,429413,395833,124800,291698,140778,480493,245398,299406,90654,343669,188350,366396,428085,137555,2585,439098,183552,364316,264678,361698
None,321561,458533,316665,100079,146883,288603,27783,54913,167498,208844,479869,289301,153203,99477,67563,465514,326783,121333,392995,104585,1093,53548,156786
None,473699,495765,419798,64206,5350,393986,77914,243141,125926,375416,488237,118501,79804,4915,401143,310783,206761,72850,89017,3826,314508,123226,234924
None,306401,65813,180419,128815,340136,376247,156352,242788,379665,281156,230875,326841,411558,182698,273349,118709,269154,149264,283078,186049,319916,252752,27908
None,12199,28450,346242,180906,476598,190525,447607,212820,22277,6420,450206,471634,270167,498756,240491,201946,306371,100009,55731,100177,129528,344617,80082
None,54755,271412,90966,424974,463542,47339,177478,43396,419106,45127,300172,423589,486654,474663,181398,175960,434887,296557,159083,495158,464288,431615,497968
None,212763,439278,97442,239670,279169,246663,458413,175951,44447,130098,24211,314971,497669,366490,70773,161629,477970,13181,423855,457380,374948,175934,70206
None,372063,155214,386057,496091,62999,379546,387221,433039,424835,431439,406364,311706,305575,262353,119522,284825,403983,96225,374328,461691,76698,237647,188954
None,298697,381335,312220,181272,334914,446809,324320,138997,40389,235895,175486,304432,128625,287253,470567,319032,237963,82432,463905,314975,1317,107782,241750
None,318956,34921,258739,318123,237484,95116,64868,82087,392656,258571,350148,205859,426871,82286,333919,264720,460986,296759,452385,459408,383109,214277,451251
None,359943,10172,354976,53851,210505,253122,288047,138826,70325,206902,493416,336188,138866,29038,22372,131874,335856,348332,467924,473244,311888,238577,451076
None,406083,82834,411535,446253,406165,315609,21471,125729,377752,361823,262705,450503,387625,289707,465094,11609,67630,361884,387296,315839,105732,38071,38843
None,6055,5405,305596,153158,116905,185541,2095,76162,122702,262280,130650,207826,424796,31296,376961,398709,152754,51035,203528,16087,240280,36068,348381
None,284018,441483,163380,93076,206183,352348,90085,137369,91690,382497,91191,296707,150390,158295,24094,223345,74229,177486,398848,116369,219778,224668,311175
None,458747,227529,427897,278169,193280,243786,137844,50141,85163,263325,150199,354815,370426,160705,450677,155985,306106,474872,497764,58048,142419,272750,358242
None,149695,89150,283879,45186,220924,484207,284716,490128,340006,352241,31399,294141,429006,399333,323282,386835,174505,406677,324172,176777,226335,90550,111309
None,372150,166473,491956,386378,236244,51709,148033,224394,416391,209595,104314,164129,74080,95533,245527,41276,412858,481933,223817,131928,406828,371302,466239
None,39631,441324,460320,179658,454482,174670,422523,448910,172352,384404,101427,299592,420471,428742,391357,6133,270653,373422,91199,178227,119993,392337,325100
None,143065,168768,307681,73264,378533,319846,65220,243616,307967,242428,261848,297643,259892,297573,371056,420642,125795,156161,36527,439182,252790,424296,412861
None,258292,126208,449576,264513,202221,419746,151600,75297,370684,103843,464579,470253,90454,89458,103853,301085,35150,1820,357817,148094,69108,74781,44451
